adapters\api.ts || 18:21 || @typescript-eslint/no-explicit-any || Unexpected any. Specify a different type.
adapters\content-json.ts || 73:28 || @typescript-eslint/no-require-imports || A `require()` style import is forbidden.
adapters\content-json.ts || 74:43 || @typescript-eslint/no-explicit-any || Unexpected any. Specify a different type.
app\auth\callback\page.tsx || 11:101 || @typescript-eslint/no-explicit-any || Unexpected any. Specify a different type.
app\layout.tsx || 37:9 || @next/next/no-page-custom-font || Custom fonts not added in `pages/_document.js` will only load for a single page. This is d
app\learn\[subject]\[module]\[topic]\page.tsx || 6:10 || @typescript-eslint/no-unused-vars || 'ProtectedRoute' is defined but never used.
app\learn\[subject]\[module]\[topic]\page.tsx || 19:11 || @typescript-eslint/no-unused-vars || 'router' is assigned a value but never used.
app\learn\[subject]\[module]\[topic]\page.tsx || 35:58 || @typescript-eslint/no-explicit-any || Unexpected any. Specify a different type.
app\learn\[subject]\[module]\[topic]\page.tsx || 37:11 || @typescript-eslint/no-unused-vars || 'prevTopic' is assigned a value but never used.
app\learn\[subject]\[module]\[topic]\page.tsx || 119:58 || @typescript-eslint/no-explicit-any || Unexpected any. Specify a different type.
app\learn\[subject]\[module]\[topic]\page.tsx || 120:50 || @typescript-eslint/no-explicit-any || Unexpected any. Specify a different type.
app\learn\[subject]\[module]\[topic]\page.tsx || 363:45 || @next/next/no-img-element || Using `<img>` could result in slower LCP and higher bandwidth. Consider using `<Image />` 
app\learn\[subject]\[module]\page.tsx || 118:49 || @typescript-eslint/no-unused-vars || 'index' is defined but never used.
app\learn\[subject]\page.tsx || 57:47 || @typescript-eslint/no-require-imports || A `require()` style import is forbidden.
app\learn\page.tsx || 60:7 || @typescript-eslint/no-unused-vars || 'formatIcons' is assigned a value but never used.
app\learn\page.tsx || 76:54 || @typescript-eslint/no-explicit-any || Unexpected any. Specify a different type.
app\learn\page.tsx || 147:194 || react/no-unescaped-entities || `'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`.
app\learn\page.tsx || 259:77 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
app\learn\page.tsx || 259:88 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
app\profile\page.tsx || 6:10 || @typescript-eslint/no-unused-vars || 'supabase' is defined but never used.
app\profile\page.tsx || 62:18 || @typescript-eslint/no-unused-vars || 'err' is defined but never used.
app\profile\page.tsx || 104:45 || @next/next/no-img-element || Using `<img>` could result in slower LCP and higher bandwidth. Consider using `<Image />` 
app\profile\page.tsx || 149:44 || react/no-unescaped-entities || `'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`.
app\profile\page.tsx || 149:53 || react/no-unescaped-entities || `'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`.
app\profile\page.tsx || 149:91 || react/no-unescaped-entities || `'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`.
app\profile\page.tsx || 149:100 || react/no-unescaped-entities || `'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`.
components\CalculusVisualizer.tsx || 3:27 || @typescript-eslint/no-unused-vars || 'useEffect' is defined but never used.
components\MetricsVisualizer.tsx || 8:16 || @typescript-eslint/no-unused-vars || 'setFn' is assigned a value but never used.
components\MetricsVisualizer.tsx || 9:16 || @typescript-eslint/no-unused-vars || 'setTn' is assigned a value but never used.
components\OptimizationVisualizer.tsx || 20:8 || react-hooks/exhaustive-deps || React Hook useEffect has a missing dependency: 'initPoint'. Either include it or remove th
components\Visualizer.tsx || 166:48 || @typescript-eslint/no-explicit-any || Unexpected any. Specify a different type.
context\AuthContext.tsx || 27:11 || @typescript-eslint/no-unused-vars || 'pathname' is assigned a value but never used.
context\AuthContext.tsx || 38:85 || @typescript-eslint/no-explicit-any || Unexpected any. Specify a different type.
visuals\SectionTextOverlay.tsx || 17:23 || @typescript-eslint/no-unused-vars || 'sectionMid' is assigned a value but never used.
visuals\explore\ExploreOverlay.tsx || 50:32 || react/no-unescaped-entities || `'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`.
visuals\explore\ExploreOverlay.tsx || 277:36 || react/no-unescaped-entities || `'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`.
visuals\explore\LearningRoadmap.tsx || 88:33 || react/no-unescaped-entities || `'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`.
visuals\explore\LearningRoadmap.tsx || 107:32 || react/no-unescaped-entities || `'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`.
visuals\explore\LearningRoadmap.tsx || 202:28 || react/no-unescaped-entities || `'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`.
visuals\explore\LearningRoadmap.tsx || 204:31 || react/no-unescaped-entities || `'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`.
